id,published_date,title,description,likes,views,comments
PQTA-EVc5DI,2024-07-09,Taylor Swift - Fortnight (feat. Post Malone) (Cults Remix),"""Fortnight (feat. Post Malone) (Cults Remix)"" by Taylor Swift.

Stream/download: https://taylor.lnk.to/fortnightacoustic 

Stream/download THE TORTURED POETS DEPARTMENT: taylor.lnk.to/thetorturedpoetsdepartment

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift online:
Instagram: http://instagram.com/taylorswift  
TikTok: http://tiktok.com/@taylorswift 
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
Instagram: http://instagram.com/taylornation  
TikTok: http://tiktok.com/@taylornation
YouTube: https://youtube.com/@TaylorNation
Tumblr: http://taylornation.tumblr.com  
Twitter: http://twitter.com/taylornation13

#TaylorSwift #PostMalone #Fortnight #THETORTUREDPOETSDEPARTMENT",29224,731187,4776
HZIg5sQrPAM,2024-07-09,Taylor Swift - Fortnight (feat. Post Malone) (Acoustic),"""Fortnight (feat. Post Malone) (Acoustic)"" by Taylor Swift.

Stream/download: https://taylor.lnk.to/fortnightacoustic 

Stream/download THE TORTURED POETS DEPARTMENT: taylor.lnk.to/thetorturedpoetsdepartment

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift online:
Instagram: http://instagram.com/taylorswift  
TikTok: http://tiktok.com/@taylorswift 
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
Instagram: http://instagram.com/taylornation  
TikTok: http://tiktok.com/@taylornation
YouTube: https://youtube.com/@TaylorNation
Tumblr: http://taylornation.tumblr.com  
Twitter: http://twitter.com/taylornation13

#TaylorSwift #PostMalone #Fortnight #THETORTUREDPOETSDEPARTMENT",77624,1413253,5115
0GQ_QeZxdzo,2024-06-21,Taylor Swift - Fortnight (feat. Post Malone) (Behind the Scenes),"Go behind the scenes of the ""Fortnight (feat. Post Malone)"" music video from THE TORTURED POETS DEPARTMENT. 

Watch ""Fortnight (feat. Post Malone)"" Official Music Video:  https://taylor.lnk.to/FortnightMV
Stream/download THE TORTURED POETS DEPARTMENT: taylor.lnk.to/thetorturedpoetsdepartment

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift online:
Instagram: http://instagram.com/taylorswift  
TikTok: http://tiktok.com/@taylorswift 
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
Instagram: http://instagram.com/taylornation  
TikTok: http://tiktok.com/@taylornation
YouTube: https://youtube.com/@TaylorNation
Tumblr: http://taylornation.tumblr.com  
Twitter: http://twitter.com/taylornation13

#TaylorSwift #PostMalone #Fortnight #BTS #THETORTUREDPOETSDEPARTMENT",158703,2551044,7567
KJXP13hqf2I,2024-05-22,Taylor Swift - Fortnight (feat Post Malone) (BLOND:ISH Remix),"Listen to ""Fortnight (feat Post Malone) (BLOND:ISH Remix)"" by Taylor Swift, from THE TORTURED POETS DEPARTMENT.

Buy/download/stream ‘THE TORTURED POETS DEPARTMENT’: https://taylor.lnk.to/thetorturedpoetsdepartment 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylor.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
 Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
 Tumblr: http://taylornation.tumblr.com

►Follow BLOND:ISH online:
Instagram: https://www.instagram.com/blondish  
TikTok: https://www.tiktok.com/@blondish
Twitter: https://x.com/blond_ish
Facebook: https://www.facebook.com/Blondish
YouTube: https://www.youtube.com/user/BLONDISHTV
Website: https://blondish.world

#taylorswift #fortnight #remix",70884,1927751,7193
ZwlBxvnH-So,2024-05-03,A fortnight since TTPD 🤍 brought to you by YouTube Shorts #ForAFortnightChallenge,,1364139,30703768,16225
F0TUVujmtxY,2024-04-25,A fortnight til Paris 🤍 Brought to you by YouTube Shorts #ForAFortnightChallenge,,1935401,34552966,21569
AtDCWnV_Vzo,2024-04-22,A fortnight making TTPD 🤍 Brought to you by YouTube Shorts #ForAFortnightChallenge,,1921243,35417173,20795
BpkmUfv1I4Q,2024-04-20,Taylor Swift - I Hate It Here (Official Lyric Video),"Watch the official lyric video for “I Hate It Here” by Taylor Swift, from ’THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY’’

Buy/download/stream ‘THE TORTURED POETS DEPARTMENT’: https://taylor.lnk.to/thetorturedpoetsdepartment 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylor.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
 Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
 Tumblr: http://taylornation.tumblr.com

#taylorswift #thetorturedpoetsdepartment #ihateithere",87310,4896550,4752
56TZ3B8Qxsk,2024-04-20,Taylor Swift - The Black Dog (Official Lyric Video),"Watch the official lyric video for “The Black Dog” by Taylor Swift, from ’THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY’’

Buy/download/stream ‘THE TORTURED POETS DEPARTMENT’: https://taylor.lnk.to/thetorturedpoetsdepartment

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylor.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
 Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
 Tumblr: http://taylornation.tumblr.com

#taylorswift #thetorturedpoetsdepartment",77746,5856060,2430
2hBLC7E8v3A,2024-04-20,Share your “fortnight” recap with #ForAFortnightChallenge 🤍 brought to you by YouTube Shorts,,4538764,121241310,49112
iMMUAd66vxo,2024-04-20,Taylor Swift - The Alchemy (Official Lyric Video),"Watch the official lyric video for “The Alchemy” by Taylor Swift, from ‘THE TORTURED POETS DEPARTMENT’

Buy/download/stream ‘THE TORTURED POETS DEPARTMENT’: https://taylor.lnk.to/thetorturedpoetsdepartment 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylor.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
YouTube: https://youtube.com/taylornation 
 Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
 Tumblr: http://taylornation.tumblr.com

#taylorswift #thetorturedpoetsdepartment",76729,7170412,2182
vOZFiX6hDXQ,2024-04-20,Taylor Swift - Who’s Afraid of Little Old Me? (Official Lyric Video),"Watch the official lyric video for “Who’s Afraid of Little Old Me?” by Taylor Swift, from ‘THE TORTURED POETS DEPARTMENT’

Buy/download/stream ‘THE TORTURED POETS DEPARTMENT’: https://taylor.lnk.to/thetorturedpoetsdepartment 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylor.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
YouTube: https://youtube.com/taylornation 
 Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
 Tumblr: http://taylornation.tumblr.com

#taylorswift #thetorturedpoetsdepartment",183059,16719755,5958
uEssK8o3jKg,2024-04-20,Taylor Swift - Florida!!! (feat. Florence + The Machine) (Official Lyric Video),"Watch the official lyric video for “Florida!!! (feat. Florence + The Machine)"" by Taylor Swift, from ‘THE TORTURED POETS DEPARTMENT’
 
Buy/download/stream ‘THE TORTURED POETS DEPARTMENT’: https://taylor.lnk.to/thetorturedpoetsdepartment 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylor.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
YouTube: https://youtube.com/taylornation 
 Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
 Tumblr: http://taylornation.tumblr.com

#taylorswift #thetorturedpoetsdepartment",98047,9098224,3034
bAi80EylyXQ,2024-04-20,Taylor Swift - The Bolter (Official Lyric Video),"Watch the official lyric video for “The Bolter” by Taylor Swift, from 'THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY’’

Buy/download/stream ‘THE TORTURED POETS DEPARTMENT’: https://taylor.lnk.to/thetorturedpoetsdepartment 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylor.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
 Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
 Tumblr: http://taylornation.tumblr.com

#taylorswift #thetorturedpoetsdepartment #thebolter",43735,3117060,1123
iY6Qhlua8Zw,2024-04-20,Taylor Swift - The Manuscript (Official Lyric Video),"Watch the official lyric video for “The Manuscript” by Taylor Swift, from ’THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY’’

Buy/download/stream ‘THE TORTURED POETS DEPARTMENT’: https://taylor.lnk.to/thetorturedpoetsdepartment 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylor.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
 Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
 Tumblr: http://taylornation.tumblr.com

#taylorswift #thetorturedpoetsdepartment #themanuscript",36463,1762018,942
_PsBoqNwYo4,2024-04-20,Taylor Swift - The Prophecy (Official Lyric Video),"Watch the official lyric video for “The Prophecy” by Taylor Swift, from ’THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY’’

Buy/download/stream ‘THE TORTURED POETS DEPARTMENT’: https://taylor.lnk.to/thetorturedpoetsdepartment 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylor.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
 Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
 Tumblr: http://taylornation.tumblr.com

#taylorswift #thetorturedpoetsdepartment #theprophecy",78085,6887779,1990
wRKXAAV6jh4,2024-04-20,Taylor Swift - My Boy Only Breaks His Favorite Toys (Official Lyric Video),"Watch the official lyric video for “My Boy Only Breaks His Favorite Toys” by Taylor Swift, from ‘THE TORTURED POETS DEPARTMENT’

Buy/download/stream ‘THE TORTURED POETS DEPARTMENT’: https://taylor.lnk.to/thetorturedpoetsdepartment 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylor.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
YouTube: https://youtube.com/taylornation 
 Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
 Tumblr: http://taylornation.tumblr.com

#taylorswift #thetorturedpoetsdepartment",112539,12530732,2555
